country_code,country,year,indicator_code,indicator_name,value,frequency
BRN,Brunei Darussalam,2015,BCA_NGDPD,Current account balance,16.675069,A
BRN,Brunei Darussalam,2016,BCA_NGDPD,Current account balance,12.890667,A
BRN,Brunei Darussalam,2017,BCA_NGDPD,Current account balance,16.359561,A
BRN,Brunei Darussalam,2018,BCA_NGDPD,Current account balance,6.929503,A
BRN,Brunei Darussalam,2019,BCA_NGDPD,Current account balance,6.634084,A
BRN,Brunei Darussalam,2020,BCA_NGDPD,Current account balance,4.278245,A
BRN,Brunei Darussalam,2021,BCA_NGDPD,Current account balance,11.137332,A
BRN,Brunei Darussalam,2022,BCA_NGDPD,Current account balance,19.513273,A
BRN,Brunei Darussalam,2023,BCA_NGDPD,Current account balance,12.873626,A
BRN,Brunei Darussalam,2024,BCA_NGDPD,Current account balance,14.540127,A
BRN,Brunei Darussalam,2015,GGXWDG_NGDP,General government gross debt,2.953087,A
BRN,Brunei Darussalam,2016,GGXWDG_NGDP,General government gross debt,3.004879,A
BRN,Brunei Darussalam,2017,GGXWDG_NGDP,General government gross debt,2.58185,A
BRN,Brunei Darussalam,2018,GGXWDG_NGDP,General government gross debt,1.898839,A
BRN,Brunei Darussalam,2019,GGXWDG_NGDP,General government gross debt,1.820954,A
BRN,Brunei Darussalam,2020,GGXWDG_NGDP,General government gross debt,2.158238,A
BRN,Brunei Darussalam,2021,GGXWDG_NGDP,General government gross debt,1.434489,A
BRN,Brunei Darussalam,2022,GGXWDG_NGDP,General government gross debt,1.325908,A
BRN,Brunei Darussalam,2023,GGXWDG_NGDP,General government gross debt,1.6721,A
BRN,Brunei Darussalam,2024,GGXWDG_NGDP,General government gross debt,1.568124,A
BRN,Brunei Darussalam,2015,LUR,Unemployment rate,7.64657,A
BRN,Brunei Darussalam,2016,LUR,Unemployment rate,8.342296,A
BRN,Brunei Darussalam,2017,LUR,Unemployment rate,9.0,A
BRN,Brunei Darussalam,2018,LUR,Unemployment rate,7.7,A
BRN,Brunei Darussalam,2019,LUR,Unemployment rate,6.7,A
BRN,Brunei Darussalam,2020,LUR,Unemployment rate,7.3,A
BRN,Brunei Darussalam,2021,LUR,Unemployment rate,4.9,A
BRN,Brunei Darussalam,2022,LUR,Unemployment rate,5.2,A
BRN,Brunei Darussalam,2023,LUR,Unemployment rate,5.2,A
BRN,Brunei Darussalam,2024,LUR,Unemployment rate,4.8,A
BRN,Brunei Darussalam,2015,NGDP_RPCH,Real GDP growth,-0.392381,A
BRN,Brunei Darussalam,2016,NGDP_RPCH,Real GDP growth,-2.477916,A
BRN,Brunei Darussalam,2017,NGDP_RPCH,Real GDP growth,1.328727,A
BRN,Brunei Darussalam,2018,NGDP_RPCH,Real GDP growth,0.052368,A
BRN,Brunei Darussalam,2019,NGDP_RPCH,Real GDP growth,3.868844,A
BRN,Brunei Darussalam,2020,NGDP_RPCH,Real GDP growth,1.133575,A
BRN,Brunei Darussalam,2021,NGDP_RPCH,Real GDP growth,-1.590763,A
BRN,Brunei Darussalam,2022,NGDP_RPCH,Real GDP growth,-1.62833,A
BRN,Brunei Darussalam,2023,NGDP_RPCH,Real GDP growth,1.12764,A
BRN,Brunei Darussalam,2024,NGDP_RPCH,Real GDP growth,4.05252,A
BRN,Brunei Darussalam,2015,PCPIPCH,"Inflation, average consumer prices",-0.463108,A
BRN,Brunei Darussalam,2016,PCPIPCH,"Inflation, average consumer prices",-0.278693,A
BRN,Brunei Darussalam,2017,PCPIPCH,"Inflation, average consumer prices",-1.260506,A
BRN,Brunei Darussalam,2018,PCPIPCH,"Inflation, average consumer prices",0.918547,A
BRN,Brunei Darussalam,2019,PCPIPCH,"Inflation, average consumer prices",-0.285386,A
BRN,Brunei Darussalam,2020,PCPIPCH,"Inflation, average consumer prices",1.937488,A
BRN,Brunei Darussalam,2021,PCPIPCH,"Inflation, average consumer prices",1.736227,A
BRN,Brunei Darussalam,2022,PCPIPCH,"Inflation, average consumer prices",3.683033,A
BRN,Brunei Darussalam,2023,PCPIPCH,"Inflation, average consumer prices",0.35654,A
BRN,Brunei Darussalam,2024,PCPIPCH,"Inflation, average consumer prices",-0.388555,A
IDN,Indonesia,2015,BCA_NGDPD,Current account balance,-2.035007,A
IDN,Indonesia,2016,BCA_NGDPD,Current account balance,-1.819278,A
IDN,Indonesia,2017,BCA_NGDPD,Current account balance,-1.594726,A
IDN,Indonesia,2018,BCA_NGDPD,Current account balance,-2.939108,A
IDN,Indonesia,2019,BCA_NGDPD,Current account balance,-2.705665,A
IDN,Indonesia,2020,BCA_NGDPD,Current account balance,-0.41861,A
IDN,Indonesia,2021,BCA_NGDPD,Current account balance,0.29589,A
IDN,Indonesia,2022,BCA_NGDPD,Current account balance,1.001829,A
IDN,Indonesia,2023,BCA_NGDPD,Current account balance,-0.1489,A
IDN,Indonesia,2024,BCA_NGDPD,Current account balance,-0.614731,A
IDN,Indonesia,2015,GGXWDG_NGDP,General government gross debt,27.013304,A
IDN,Indonesia,2016,GGXWDG_NGDP,General government gross debt,27.955461,A
IDN,Indonesia,2017,GGXWDG_NGDP,General government gross debt,29.395537,A
IDN,Indonesia,2018,GGXWDG_NGDP,General government gross debt,30.422723,A
IDN,Indonesia,2019,GGXWDG_NGDP,General government gross debt,30.563455,A
IDN,Indonesia,2020,GGXWDG_NGDP,General government gross debt,39.747126,A
IDN,Indonesia,2021,GGXWDG_NGDP,General government gross debt,41.140307,A
IDN,Indonesia,2022,GGXWDG_NGDP,General government gross debt,40.140611,A
IDN,Indonesia,2023,GGXWDG_NGDP,General government gross debt,39.601362,A
IDN,Indonesia,2024,GGXWDG_NGDP,General government gross debt,40.164815,A
IDN,Indonesia,2015,LUR,Unemployment rate,6.18,A
IDN,Indonesia,2016,LUR,Unemployment rate,5.61,A
IDN,Indonesia,2017,LUR,Unemployment rate,5.5,A
IDN,Indonesia,2018,LUR,Unemployment rate,5.34,A
IDN,Indonesia,2019,LUR,Unemployment rate,5.28,A
IDN,Indonesia,2020,LUR,Unemployment rate,7.07,A
IDN,Indonesia,2021,LUR,Unemployment rate,6.49,A
IDN,Indonesia,2022,LUR,Unemployment rate,5.86,A
IDN,Indonesia,2023,LUR,Unemployment rate,5.32,A
IDN,Indonesia,2024,LUR,Unemployment rate,4.91,A
IDN,Indonesia,2015,NGDP_RPCH,Real GDP growth,4.876322,A
IDN,Indonesia,2016,NGDP_RPCH,Real GDP growth,5.033069,A
IDN,Indonesia,2017,NGDP_RPCH,Real GDP growth,5.069786,A
IDN,Indonesia,2018,NGDP_RPCH,Real GDP growth,5.174292,A
IDN,Indonesia,2019,NGDP_RPCH,Real GDP growth,5.019288,A
IDN,Indonesia,2020,NGDP_RPCH,Real GDP growth,-2.065512,A
IDN,Indonesia,2021,NGDP_RPCH,Real GDP growth,3.702886,A
IDN,Indonesia,2022,NGDP_RPCH,Real GDP growth,5.307197,A
IDN,Indonesia,2023,NGDP_RPCH,Real GDP growth,5.048831,A
IDN,Indonesia,2024,NGDP_RPCH,Real GDP growth,5.032575,A
IDN,Indonesia,2015,PCPIPCH,"Inflation, average consumer prices",6.360401,A
IDN,Indonesia,2016,PCPIPCH,"Inflation, average consumer prices",3.529931,A
IDN,Indonesia,2017,PCPIPCH,"Inflation, average consumer prices",3.807144,A
IDN,Indonesia,2018,PCPIPCH,"Inflation, average consumer prices",3.291214,A
IDN,Indonesia,2019,PCPIPCH,"Inflation, average consumer prices",2.822033,A
IDN,Indonesia,2020,PCPIPCH,"Inflation, average consumer prices",2.031457,A
IDN,Indonesia,2021,PCPIPCH,"Inflation, average consumer prices",1.560903,A
IDN,Indonesia,2022,PCPIPCH,"Inflation, average consumer prices",4.138643,A
IDN,Indonesia,2023,PCPIPCH,"Inflation, average consumer prices",3.7125,A
IDN,Indonesia,2024,PCPIPCH,"Inflation, average consumer prices",2.299626,A
KHM,Cambodia,2015,BCA_NGDPD,Current account balance,-7.288136,A
KHM,Cambodia,2016,BCA_NGDPD,Current account balance,-6.866747,A
KHM,Cambodia,2017,BCA_NGDPD,Current account balance,-6.510295,A
KHM,Cambodia,2018,BCA_NGDPD,Current account balance,-8.99044,A
KHM,Cambodia,2019,BCA_NGDPD,Current account balance,-8.347472,A
KHM,Cambodia,2020,BCA_NGDPD,Current account balance,-0.980462,A
KHM,Cambodia,2021,BCA_NGDPD,Current account balance,-30.096711,A
KHM,Cambodia,2022,BCA_NGDPD,Current account balance,-19.189332,A
KHM,Cambodia,2023,BCA_NGDPD,Current account balance,1.307555,A
KHM,Cambodia,2024,BCA_NGDPD,Current account balance,0.495103,A
KHM,Cambodia,2015,GGXWDG_NGDP,General government gross debt,23.396354,A
KHM,Cambodia,2016,GGXWDG_NGDP,General government gross debt,22.025418,A
KHM,Cambodia,2017,GGXWDG_NGDP,General government gross debt,22.853254,A
KHM,Cambodia,2018,GGXWDG_NGDP,General government gross debt,21.308476,A
KHM,Cambodia,2019,GGXWDG_NGDP,General government gross debt,21.241922,A
KHM,Cambodia,2020,GGXWDG_NGDP,General government gross debt,25.519915,A
KHM,Cambodia,2021,GGXWDG_NGDP,General government gross debt,26.391494,A
KHM,Cambodia,2022,GGXWDG_NGDP,General government gross debt,25.282797,A
KHM,Cambodia,2023,GGXWDG_NGDP,General government gross debt,26.277516,A
KHM,Cambodia,2024,GGXWDG_NGDP,General government gross debt,26.138132,A
KHM,Cambodia,2015,LUR,Unemployment rate,,A
KHM,Cambodia,2016,LUR,Unemployment rate,,A
KHM,Cambodia,2017,LUR,Unemployment rate,,A
KHM,Cambodia,2018,LUR,Unemployment rate,,A
KHM,Cambodia,2019,LUR,Unemployment rate,,A
KHM,Cambodia,2020,LUR,Unemployment rate,,A
KHM,Cambodia,2021,LUR,Unemployment rate,,A
KHM,Cambodia,2022,LUR,Unemployment rate,,A
KHM,Cambodia,2023,LUR,Unemployment rate,,A
KHM,Cambodia,2024,LUR,Unemployment rate,,A
KHM,Cambodia,2015,NGDP_RPCH,Real GDP growth,6.834408,A
KHM,Cambodia,2016,NGDP_RPCH,Real GDP growth,7.356667,A
KHM,Cambodia,2017,NGDP_RPCH,Real GDP growth,7.580218,A
KHM,Cambodia,2018,NGDP_RPCH,Real GDP growth,8.731106,A
KHM,Cambodia,2019,NGDP_RPCH,Real GDP growth,7.88345,A
KHM,Cambodia,2020,NGDP_RPCH,Real GDP growth,-2.957834,A
KHM,Cambodia,2021,NGDP_RPCH,Real GDP growth,2.903844,A
KHM,Cambodia,2022,NGDP_RPCH,Real GDP growth,5.502947,A
KHM,Cambodia,2023,NGDP_RPCH,Real GDP growth,5.00733,A
KHM,Cambodia,2024,NGDP_RPCH,Real GDP growth,6.019821,A
KHM,Cambodia,2015,PCPIPCH,"Inflation, average consumer prices",1.220984,A
KHM,Cambodia,2016,PCPIPCH,"Inflation, average consumer prices",3.02214,A
KHM,Cambodia,2017,PCPIPCH,"Inflation, average consumer prices",2.912636,A
KHM,Cambodia,2018,PCPIPCH,"Inflation, average consumer prices",2.45987,A
KHM,Cambodia,2019,PCPIPCH,"Inflation, average consumer prices",1.941794,A
KHM,Cambodia,2020,PCPIPCH,"Inflation, average consumer prices",2.940295,A
KHM,Cambodia,2021,PCPIPCH,"Inflation, average consumer prices",2.921282,A
KHM,Cambodia,2022,PCPIPCH,"Inflation, average consumer prices",5.338886,A
KHM,Cambodia,2023,PCPIPCH,"Inflation, average consumer prices",2.131594,A
