"country_code","country","paired_observations","world_bank_missing_years","mean_difference_pp","mean_absolute_difference_pp","max_absolute_difference_pp"
"BRN","Brunei Darussalam","10","","2.97556047769432E-07","1.89440700242155E-06","4.18162719006965E-06"
"KHM","Cambodia","10","","-0.072595896689189","0.267583947250293","0.59788793406549"
"IDN","Indonesia","10","","4.20590580141322E-08","2.53835957941817E-07","4.60449760097958E-07"
"LAO","Lao P.D.R.","10","","-0.258548547776997","0.292313217388303","0.937943829018681"
"MYS","Malaysia","10","","-0.00842848311587399","0.00843933870355795","0.08433742155011"
"MMR","Myanmar","10","","-0.0186151716151735","0.214905953163483","1.13036729026121"
"PHL","Philippines","10","","-0.00227324854238615","0.00227975778268403","0.02273926128652"
"SGP","Singapore","10","","-3.70296070695275E-08","2.70821043057978E-07","4.84740739992162E-07"
"THA","Thailand","10","","0.00284433457168802","0.00653796158868802","0.04691086433695"
"VNM","Vietnam","10","","-0.00016248768078575","0.0174354720379739","0.0879879712301799"
