country_code,country,pre_growth,covid_growth,covid_shock,recovery_growth,recovery_gap,growth_volatility_pre,growth_volatility_post,pre_inflation,post_inflation,inflation_cost,debt_2019,debt_2024,debt_cost,pre_unemployment,post_unemployment,unemployment_change,pre_current_account,post_current_account,current_account_change,rank_recovery_gap,rank_low_inflation_cost,rank_low_debt_cost,rank_unemployment_improvement,rank_external_improvement,tradeoff_profile
SGP,Singapore,3.1119866000000003,-3.610843,-6.722829600000001,5.236286,2.1242993999999995,1.2199352745794754,3.647171328845137,0.10631820000000003,3.9175730000000004,3.8112548000000004,127.68197,166.038912,38.356942000000004,2.1,2.15625,0.05624999999999991,17.2676662,17.942052,0.6743857999999996,1.0,8.0,10.0,3.0,6.0,Above-median recovery + higher cost
MYS,Malaysia,4.9052052,-5.456847,-10.3620522,5.2474025,0.3421972999999996,0.5672942932325338,2.6457147876280365,1.922316,2.5446917499999997,0.6223757499999998,57.082531,69.838922,12.756390999999994,3.3249999999999993,3.7812500000000004,0.45625000000000115,2.779911,2.4018217500000003,-0.3780892499999995,2.0,4.0,5.0,7.0,7.0,Above-median recovery + lower inflation/debt cost
BRN,Brunei Darussalam,0.4759284000000001,1.133575,0.6576465999999999,0.4902667500000001,0.01433835,2.339749083068161,2.7027781932946175,-0.2738292,1.3468112499999998,1.6206404499999998,1.820954,1.568124,-0.2528299999999999,7.8777732,5.025,-2.8527731999999997,11.897776799999999,14.5160895,2.6183127000000006,3.0,5.0,2.0,1.0,2.0,Above-median recovery + lower inflation/debt cost
IDN,Indonesia,5.0345514,-2.065512,-7.1000634,4.77287225,-0.26167914999999997,0.10728539537047906,0.7243323969262432,3.9621446000000007,2.927918,-1.0342266000000007,30.563455,40.164815,9.601359999999996,5.582,5.6450000000000005,0.06300000000000061,-2.2187568,0.133522,2.3522788,4.0,1.0,4.0,4.0,3.0,Above-median recovery + lower inflation/debt cost
PHL,Philippines,6.577753400000001,-9.518303,-16.096056400000002,6.126671249999999,-0.4510821500000013,0.43903072499575685,0.9734800150995654,2.4958084000000005,4.734742,2.2389335999999993,36.972652,56.627441,19.654789,5.58,5.34166675,-0.23833325000000016,-0.4051306,-3.219977,-2.8148464,5.0,7.0,7.0,2.0,8.0,Above-median recovery + higher cost
THA,Thailand,3.4168627999999996,-6.093063,-9.5099258,2.3555755,-1.0612872999999996,0.8667192773728412,0.6092135536402651,0.3449734,2.233592,1.8886185999999998,41.063058,62.913108,21.850050000000003,1.0399999999999998,1.3,0.26000000000000023,7.944722799999999,-0.4339077499999999,-8.378630549999999,6.0,6.0,8.0,6.0,10.0,Below-median recovery + higher cost
VNM,Vietnam,7.0883246,2.865413,-4.2229116,5.776954,-1.3113706,0.31864239920685383,2.575289824608226,2.6312486,2.966198,0.33494939999999973,40.993334,31.163333,-9.830000999999996,2.246,2.505,0.2589999999999999,0.8891744000000001,2.781237,1.8920625999999998,7.0,2.0,1.0,5.0,5.0,Below-median recovery + lower cost
KHM,Cambodia,7.6771698,-2.957834,-10.6350038,4.8584855000000005,-2.8186842999999993,0.7027983676796641,1.3670904441239433,2.3114847999999997,2.79838525,0.48690045000000026,21.241922,26.138132,4.89621,,,,-7.600618,-11.87084625,-4.27022825,8.0,3.0,3.0,,9.0,Below-median recovery + lower cost
LAO,Lao P.D.R.,6.416974200000001,-0.434912,-6.851886200000001,3.06759175,-3.349382450000001,1.0564114497865877,1.0866025652704163,1.8125394,20.268753500000003,18.456214100000004,69.12944,94.68223,25.55279,,,,-9.5894284,1.5830599999999997,11.172488399999999,9.0,10.0,9.0,,1.0,Below-median recovery + higher cost
MMR,Myanmar,6.3194076,-9.031913,-15.3513206,-1.9881772500000001,-8.30758485,0.352162794494677,6.979706483597257,7.4397188,23.5,16.0602812,37.624836,50.642525,13.017688999999997,,,,-3.7740824,-1.51223025,2.26185215,10.0,9.0,6.0,,4.0,Below-median recovery + higher cost
